,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
174,142526,18258,382435,352390,62802,23285,211110,0,29050,160000,572136,94967
175,10475,12625,76278,244525,0,33525,148540,81087,21450,0,170340,40438
176,220670,0,73403,326740,35570,129240,97650,46767,38092,671000,367857,104523
177,116655,58585,137050,222004,28580,82200,84900,80782,292371,0,204500,206761
178,78060,116800,500,192574,46200,53000,222415,165124,349508,0,663900,123916
179,86930,1667,18450,290277,17308,16600,88377,55500,24940,0,395280,55500
180,27400,0,0,443110,0,0,293900,0,34500,0,408600,60000
181,91723,7213,85987,348942,1743,7417,35567,32570,25197,14333,272900,182935
182,79248,1667,22867,367928,8167,32533,3089418,74073,47950,0,300433,85668
183,157100,11260,112242,107293,53771,55942,90825,62462,56110,257833,466398,180037
184,140660,144600,32000,225600,11250,91700,85100,69561,30140,0,902000,241600
185,20533,83717,4150,7810,13433,33950,110357,50861,147735,0,567129,54437
186,47307,51293,23667,386867,24208,32892,114027,329893,67250,0,466262,44511
187,199457,0,77305,389601,61735,27762,82113,104937,261368,0,257322,66435
188,94313,60550,230683,424138,35753,189148,336168,43251,290291,0,525758,187737
189,163710,3333,100312,308150,48600,119425,56782,81024,95966,0,472112,102433
190,38500,0,68500,18970,2000,11400,44600,58700,2500,0,139900,53800
191,79343,77475,79745,433240,89525,19850,115035,49522,72948,0,107950,48775
192,124297,140730,257998,568387,10212,105312,105913,52449,454752,88200,476348,92454
193,139310,1050,89880,1073565,10700,120565,169115,58950,138445,125000,426910,93483
194,40685,6800,40750,96618,1788,39488,318800,35750,139053,0,174825,44188
195,186520,81850,63764,362506,128428,43800,48217,78243,98099,0,189017,48213
196,148190,15460,307780,570140,35100,223400,50900,56222,202400,0,334000,128590
197,78940,5400,19600,417604,2280,11970,156040,332797,31200,0,750660,91783
198,153075,2500,38675,417728,21653,80050,91748,40478,70890,245250,157010,23311
199,290135,22875,278709,89805,131088,8100,381275,62724,70045,0,278585,354604
200,180156,51650,112964,114410,51416,198809,80197,84650,279550,90000,215906,220618
201,63103,29963,247441,91860,67430,135400,313613,298284,123106,0,708070,115781
202,144500,0,137500,97740,0,0,350500,50397,99100,0,406700,63358
203,143102,78633,63593,233107,313207,24773,504598,79627,317950,0,527231,92377
204,246888,4180,101652,98703,15442,49610,253520,318879,127255,0,135425,66533
205,287290,21925,194281,106878,107291,59388,160228,107372,267093,153000,205654,150703
206,54640,75440,13700,405796,460088,27400,136870,58688,17557,0,286609,62698
207,58550,8300,1010532,166080,42426,69050,137340,48450,86540,0,424160,461545
208,156869,32128,46073,185628,23102,16477,163070,93215,162625,0,590470,96838
209,33500,0,180100,170880,3980,19650,8830,50370,305700,0,374340,5302
210,68916,35133,161678,136300,27348,133817,168022,65353,101622,66667,623445,176495
211,95064,29267,94420,346390,3343,9233,27148,51885,222373,0,177500,153767
212,178100,149167,115813,337778,8767,3667,75563,132962,275397,0,846733,87174
213,59900,89700,8900,333790,3200,12000,52440,22000,96510,0,385000,22500
214,88120,30133,194000,88331,25083,101650,110375,25467,139480,0,256183,99441
215,43130,37083,87733,79225,8283,46947,112226,70069,29740,0,327550,148700
216,113090,0,0,124393,2983,58195,86200,71921,45667,0,238417,58172
217,97753,0,72787,0,9667,19692,226157,128627,63901,25000,373573,121614
218,125940,18188,13010,103080,18687,52308,73407,94983,94893,0,166090,58963
219,90200,32082,40232,181294,4450,38537,306472,62624,66326,0,394501,144381
