,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
1997,1,2,27,1671.7269,5,1,978884,0.10104159430535181,0.409631784767143,0.20488025138831567,0.07819516919267247,0.01642993449683517,0.18982126584968187
1999,0,1,29,331.6628,6,1,2362624,0.004232582078231661,0.29563316041824683,0.6153327825333189,0.014962177646548922,0.021162910391158304,0.048676386932495395
2001,1,2,29,1049.2445,4,1,4594115,0.059433209660620163,0.1398016810637087,0.5755010486241637,0.055567394373018525,0.0009795140086828475,0.16871736993958575
2022,1,1,21,509.2395,5,5,1452879,0.0,0.4603893373088881,0.3184504697225302,0.15205602118276884,0.0,0.06910417178581287
2024,1,2,23,1130.2972,4,1,1415050,0.04393837673580439,0.3039737111762835,0.3838818416310378,0.05674711140949083,0.029857602204869087,0.181602063531324
2026,1,1,22,1810.1052,6,4,1049990,0.022666882541738494,0.39700378098839034,0.371045438527986,0.1571253059552948,0.0,0.05215859198659035
2028,1,2,25,740.9946,6,1,1389110,0.13379070052047715,0.3364096435847413,0.3799425531455392,0.02087667643311185,0.0,0.12898042631613046
2029,1,2,22,740.9946,6,5,1370175,0.07699746382761326,0.3472841060448483,0.35690696443884906,0.025077088693050156,0.0,0.19373437699563925
2087,0,1,27,1728.9137,4,1,896234,0.020828265832360745,0.3524827221462252,0.5190653333839154,0.09160219317722827,0.0,0.016022601240301082
2136,1,2,23,2438.598,5,1,1205991,0.05851453286135635,0.36901850842999656,0.39588355136978637,0.053347827637188004,0.018238942081657324,0.10499746681359977
2170,1,2,25,1472.1292,6,1,737825,0.07619693016636736,0.4146782773692949,0.2039982380645817,0.17220343577406566,0.0,0.13292311862569037
2180,1,1,26,1792.0488,4,1,1733126,0.016759889355996045,0.3702835223751764,0.3193622390985999,0.15985854461822163,0.0,0.13373580455200604
2182,1,2,28,1383.289,5,1,1484300,0.10395742100653507,0.22855891666105235,0.2970329448224752,0.05266118709155831,0.19739944755103417,0.12039008286734487
2197,0,1,22,1674.6102,6,2,852263,0.044489787776777825,0.23844048140069438,0.4467634990607359,0.18736469845575837,0.06487199373902187,0.018071886260461852
2208,0,1,22,552.7591,5,2,586300,0.0,0.3689237591676616,0.5526181135937234,0.07845812723861505,0.0,0.0
2235,1,2,28,552.7591,6,1,2542656,0.14453783759973823,0.18463370585718242,0.2003597812680913,0.44317634788189986,0.0,0.02729232739308817
2246,1,2,21,1024.5172,5,1,1074883,0.11412870051903323,0.2769724704921373,0.44420183406007907,0.011396589210174503,0.0,0.1533004057185759
2251,1,1,26,1492.0134,4,1,2302289,0.14780898488417396,0.3585983340927225,0.3192996187707104,0.07910388313543608,0.0005212204028251883,0.09466795871413189
2280,1,1,23,552.7591,4,1,2924339,0.05437126133461271,0.09981058967513684,0.28809929354975605,0.03163107970724324,0.506846162500312,0.019241613232939134
2340,1,2,23,2344.5608,6,1,981742,0.061278828857276146,0.46323372128318846,0.33151275997156077,0.012795622475151312,0.004074390216574212,0.12710467719624913
2355,1,1,29,2347.6237,6,1,1291527,0.21133278669358055,0.3824875515571877,0.2869401878551513,0.070898246803977,0.0,0.04834122709010342
2357,0,2,28,2347.6237,6,1,508766,0.03715460545712567,0.13683500862872125,0.7008919621201102,0.015535629346300657,0.0,0.10958475998789227
2359,1,2,24,2347.6237,6,1,1701312,0.10178379979686265,0.21242194259489147,0.4853060461573186,0.058927463040288904,0.0021089606139261933,0.1394517877967122
2396,1,2,29,1735.3737,6,1,838973,0.1564794099452545,0.26033972487791623,0.16832603671393478,0.03847322857827368,0.06555634090727593,0.3108240670438739
2399,1,2,28,1492.0134,6,2,1964164,0.04217570426909362,0.18197767599854187,0.2377769880722791,0.03448490044619492,0.42855891870536267,0.07502632163098397
2504,1,1,27,710.8565,4,1,1261400,0.02528936102742984,0.31172110353575394,0.4038171872522594,0.16379816077374346,0.0,0.09537418741081338
2518,1,1,26,2347.6237,6,1,1014273,0.0679471897605477,0.38473271002974546,0.2988514926454712,0.13436323356729402,0.0,0.11410438806908987
2520,1,1,23,540.6352,5,1,1602610,0.0,0.15993909934419479,0.8347944914857639,0.0015599553228795528,0.0,0.0037064538471618174
2587,1,2,24,552.7591,6,1,1256090,0.0,0.3389566034280983,0.40981139886473106,0.15847590538894507,0.0,0.09275609231822561
2589,1,1,26,1738.3668,7,1,1196531,0.05250010237929481,0.37507594872176314,0.4586191247865705,0.07434826176672397,0.0,0.03945572659630214
2601,1,1,22,582.182,4,1,1597601,0.0009389077748449081,0.22616723449722428,0.6214686896164937,0.07733157402880944,0.05461063181607923,0.019482962266548404
2666,1,2,27,419.2319,6,1,881663,0.0,0.2763867827049564,0.3729542920594377,0.3254985181412853,0.0,0.02516040709432062
2682,0,2,22,1213.7089,6,2,1447033,0.03826243078077694,0.29304998572942015,0.11615491837435636,0.027550857513270258,0.0,0.5249818076021763
2683,1,2,28,445.0914,6,1,2099485,0.1296327432679919,0.15260409100326985,0.53328649645032,0.01428921854645306,0.0,0.17018745073196523
2684,0,1,23,1603.8243,6,2,745303,0.012243342640509967,0.6021980322097187,0.08511705977300507,0.09039947511280647,0.0,0.21004209026395976
2685,1,1,27,1603.8243,6,1,1061550,0.020912816165041686,0.48150628797513073,0.41788705195233383,0.04255569685836748,0.0,0.03713908906787245
2701,1,2,24,2750.5711,4,1,1959258,0.06996424156491897,0.3299932933794324,0.38281890389116696,0.06856166977498625,0.061586069828475885,0.08707582156101953
2702,1,2,27,2726.8099,6,1,1629356,0.13680251584061434,0.36002997503308054,0.21695872479679087,0.13707501614134665,0.0,0.1491337681881676
2753,1,2,26,1660.6722,5,1,1126204,0.05946968755216639,0.44687108197093955,0.2556552809260134,0.037565130296109764,0.002219846493175304,0.1982216365773874
2755,1,1,28,857.9297,6,1,1953255,0.09512019679970102,0.33749664022362674,0.38043624616345534,0.08772024134073636,0.0,0.0992271874384041
2756,1,1,29,857.9297,4,1,1997617,0.014690003138739808,0.37530968148549,0.402720341286643,0.033222584709681584,0.11129510812132656,0.06276228125811904
2759,1,2,24,857.9297,5,1,960815,0.006765090053756446,0.3541992995529837,0.5089491733580346,0.12244812997299168,0.0,0.007638307062233625
2762,1,1,26,855.2695,4,1,1366985,0.1483154533517193,0.4790615844358204,0.15043325274234903,0.1391675841358903,0.0,0.08302212533422093
2815,1,1,26,1820.1419,5,5,782640,0.03481805172237555,0.45451293059388737,0.4518207605029132,0.006005315342941838,0.0,0.05284421956455075
2928,1,1,28,2749.4602,6,1,1115701,0.046762528670315794,0.2417341205215376,0.5097611277573472,0.1346642155918118,0.024347921172428812,0.042730086286558853
3037,1,2,24,2689.4848,5,1,1863004,0.04092315421759696,0.16690892773177085,0.559020807255379,0.06240995725183628,0.013419187505770251,0.15731796603764672
3176,1,2,27,1666.2289,4,1,1672164,0.07840140081953684,0.38169820663523435,0.42687559354226023,0.02488870708853916,0.00029901373310273395,0.08783827423625912
3201,1,2,21,2426.7264,5,2,1080543,0.09041287574858196,0.3577784502791652,0.22351632466269275,0.14927864971592986,0.012030988123563801,0.16698363693069132
3226,1,1,24,470.4974,3,1,1856259,0.0,0.2101377016892578,0.45224454130592767,0.19108648092749989,0.0,0.14653127607731464
3258,1,2,29,1511.5776,5,1,981538,0.034604875206054174,0.24211900099639544,0.3106257730215234,0.033761301141677656,0.22074234517665134,0.1581477232669545
